interno,total_llamadas,minutos_totales
105,209,324
106,43,42
108,274,297
109,171,199
116,24,38
202,77,103
205,34,37
206,16,23
208,198,345
209,112,699
210,7,18
211,31,55
212,147,386
214,204,424
215,20,28
216,18,61
217,87,143
218,24,34
220,102,412
227,160,210
230,12,25
234,42,94
250,87,45
302,60,84
304,546,1054
311,31,63
315,10,15
323,182,460
331,15,37
332,100,165
333,14,24
334,15,25
335,50,49
400,9,16
407,18,107
408,14,23
410,46,149
412,14,17
413,23,37
451,35,61
452,17,22
601,22,48
602,37,39
603,24,32
702,33,48
712,27,26
813,13,29
814,21,82
816,46,67
817,46,68
821,85,109
825,13,23
826,80,101
827,40,81
902,200,175
1001,17,23
1002,195,157
1006,26,62
1009,28,70
1010,32,49
1012,20,49
1201,10,29
1202,278,264
1204,194,212
1205,23,54
1207,68,82
1208,77,83
1209,14,18
1212,17,29
1214,18,65
1217,26,42
1220,6,20
1221,29,62
1605,98,137
1609,23,17
1703,114,216
1704,20,58
1705,42,92
1707,365,338
2000,21,34
2001,210,284
2003,227,255
2006,46,85
2008,55,136
2100,24,29
2102,27,60
2121,17,42
2122,9,145
2123,4,16
2201,58,150
2202,25,29
2203,19,26
2206,13,17
2301,5,33
3001,61,98
3242,14,32
3243,9,15
4002,246,243
4003,47,34
4204,3,19
4207,23,24
